Employee Id,Absent,Undertime (in sec.), Overtime (in sec.)
000455,true,,
002523,true,,
002726,true,,
003849,false,0,0
004302,false,0,6454
004309,false,11,0
004805,false,6186,4907
005087,true,,
005630,false,0,0
006603,true,,
006747,true,,
007530,false,39,0
007888,false,0,5617
008085,true,,
010309,false,0,0
010522,false,0,0
011414,false,33,0
015793,false,2360,0
016670,false,0,0
018196,true,,
019093,false,334,10204
024660,false,0,7965
027773,true,,
027824,true,,
028053,false,13082,0
030345,false,0,0
030422,false,0,0
030838,false,0,0
032218,true,,
034943,false,17,0
036319,true,,
037599,false,75,0
038390,false,1869,0
038805,true,,
039107,false,0,0
039277,false,3047,0
039653,false,0,0
041137,false,9439,0
043983,false,52,0
044009,false,0,0
044015,true,,
044585,true,,
045599,true,,
045827,true,,
046713,false,19380,0
047307,true,,
047442,true,,
049335,false,0,0
049589,true,,
050034,true,,
052152,false,0,7675
052262,false,2419,8287
054179,true,,
054336,false,13916,0
055789,false,13594,0
056239,true,,
056776,false,0,0
057337,false,3362,0
058876,false,0,0
061025,false,8,0
061900,false,3,4988
062275,false,0,0
063089,false,0,0
063883,true,,
063983,true,,
064235,false,0,0
064974,false,1074,0
064982,false,1885,0
065696,true,,
066133,false,2698,0
068045,false,39,0
069095,true,,
069551,true,,
069630,true,,
070000,true,,
070157,true,,
070501,false,0,0
071109,true,,
071418,false,0,0
071787,false,3,0
074009,false,0,8466
074318,false,42,0
076551,false,1206,0
076645,false,2280,2314
080564,true,,
082266,false,9,3005
082590,false,20184,0
082685,false,0,0
082807,false,0,0
083068,false,2826,8661
083765,false,36,0
083943,false,0,0
084593,false,0,0
085258,false,0,0
089596,false,17,0
089700,false,2375,0
091748,false,0,0
091922,true,,
093324,false,0,0
093483,true,,
094073,false,0,5654
094344,true,,
094409,true,,
094658,false,0,0
095400,false,23,0
098165,false,15,0
098590,false,0,0
098657,false,2052,0
100282,true,,
104786,false,41,0
106617,true,,
106717,false,2120,9470
108389,true,,
108502,false,0,0
108699,true,,
109075,false,0,0
112988,false,0,0
113400,false,23,0
114429,false,0,0
114567,false,3246,0
114665,false,2796,0
115135,false,0,0
115225,false,24,0
116211,false,0,0
117785,false,32,0
118346,true,,
118557,false,0,4694
120003,false,0,5117
120413,true,,
121242,true,,
122987,false,0,0
124157,false,2329,0
125913,false,0,0
126000,false,0,1478
126085,false,2,0
126351,false,1848,0
126674,false,1494,4773
128039,false,0,0
130299,false,0,0
131837,false,0,0
132677,false,0,0
133010,false,1716,0
133974,true,,
134956,false,0,7739
136018,false,3489,0
136323,false,0,0
138112,false,0,10089
139228,false,2574,2902
140231,false,18498,0
140624,false,0,8912
141903,false,0,8192
142007,false,1368,0
143814,false,0,0
145007,false,0,0
146020,false,23,0
149421,false,0,9177
149856,false,184,0
150972,true,,
151684,false,58,0
151998,false,1009,0
153278,true,,
157659,false,0,0
158314,false,3487,0
158906,false,0,0
159872,true,,
160625,true,,
161563,true,,
162151,true,,
162419,true,,
162466,true,,
163817,false,15692,0
